Title,Rating,Information
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,"        Movie (1 eps)        Apr 2009 - Apr 2009        176,178 members      "
Bakuman. 3rd Season,8.57,"        TV (25 eps)        Oct 2012 - Mar 2013        279,786 members      "
Kara no Kyoukai 5: Mujun Rasen,8.56,"        Movie (1 eps)        Aug 2008 - Aug 2008        196,726 members      "
Sora yori mo Tooi Basho,8.56,"        TV (13 eps)        Jan 2018 - Mar 2018        370,338 members      "
Yuru Camp△ Season 2,8.56,"        TV (13 eps)        Jan 2021 - Apr 2021        135,891 members      "
Zoku Natsume Yuujinchou,8.56,"        TV (13 eps)        Jan 2009 - Mar 2009        208,257 members      "
One Piece,8.55,"        TV (? eps)        Oct 1999 -         1,499,022 members      "
Fruits Basket 2nd Season,8.55,"        TV (25 eps)        Apr 2020 - Sep 2020        256,060 members      "
Haikyuu!!: To the Top 2nd Season,8.55,"        TV (12 eps)        Oct 2020 - Dec 2020        454,033 members      "
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,"        TV (26 eps)        Jan 2004 - Jan 2005        196,939 members      "
One Punch Man,8.54,"        TV (12 eps)        Oct 2015 - Dec 2015        2,345,163 members      "
Neon Genesis Evangelion: The End of Evangelion,8.53,"        Movie (1 eps)        Jul 1997 - Jul 1997        631,034 members      "
Ansatsu Kyoushitsu 2nd Season,8.53,"        TV (25 eps)        Jan 2016 - Jul 2016        1,008,028 members      "
Gintama.: Porori-hen,8.53,"        TV (13 eps)        Oct 2017 - Dec 2017        139,734 members      "
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"        Movie (1 eps)        Apr 2010 - Apr 2010        123,914 members      "
Holo no Graffiti,8.52,"        ONA (? eps)        May 2019 -         29,949 members      "
Slam Dunk,8.52,"        TV (101 eps)        Oct 1993 - Mar 1996        216,782 members      "
Uchuu Kyoudai,8.52,"        TV (99 eps)        Apr 2012 - Mar 2014        157,618 members      "
Rainbow: Nisha Rokubou no Shichinin,8.51,"        TV (26 eps)        Apr 2010 - Sep 2010        320,855 members      "
Shingeki no Kyojin,8.51,"        TV (25 eps)        Apr 2013 - Sep 2013        2,834,486 members      "
Steins;Gate 0,8.51,"        TV (23 eps)        Apr 2018 - Sep 2018        642,048 members      "
Vivy: Fluorite Eye's Song,8.51,"        TV (13 eps)        Apr 2021 -         188,958 members      "
Aria the Origination,8.51,"        TV (13 eps)        Jan 2008 - Apr 2008        102,162 members      "
Gintama: The Semi-Final,8.51,"        Special (2 eps)        Jan 2021 - Jan 2021        29,196 members      "
Hotaru no Haka,8.51,"        Movie (1 eps)        Apr 1988 - Apr 1988        479,764 members      "
Chihayafuru 3,8.5,"        TV (24 eps)        Oct 2019 - Mar 2020        98,037 members      "
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,"        TV (39 eps)        Apr 2016 - Dec 2016        718,017 members      "
Kenpuu Denki Berserk,8.5,"        TV (25 eps)        Oct 1997 - Apr 1998        458,885 members      "
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,8.5,"        Movie (1 eps)        Aug 2019 - Aug 2019        486,279 members      "
Perfect Blue,8.5,"        Movie (1 eps)        Feb 1998 - Feb 1998        442,749 members      "
Samurai Champloo,8.5,"        TV (26 eps)        May 2004 - Mar 2005        959,713 members      "
Tian Guan Ci Fu Special,8.5,"        ONA (1 eps)        Feb 2021 - Feb 2021        14,050 members      "
Banana Fish,8.49,"        TV (24 eps)        Jul 2018 - Dec 2018        510,996 members      "
Haikyuu!!,8.49,"        TV (25 eps)        Apr 2014 - Sep 2014        1,362,190 members      "
Mo Dao Zu Shi,8.49,"        ONA (15 eps)        Jul 2018 - Oct 2018        146,970 members      "
Mob Psycho 100,8.48,"        TV (12 eps)        Jul 2016 - Sep 2016        1,404,040 members      "
Shingeki no Kyojin Season 2,8.48,"        TV (12 eps)        Apr 2017 - Jun 2017        1,844,845 members      "
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.48,"        Movie (1 eps)        Apr 2013 - Apr 2013        472,971 members      "
